Informations générales - Code INSEE de la commune,Nom de la commune,2019,2020,2021
01004,AMBERIEU-EN-BUGEY,0,0,0
01033,VALSERHÔNE,0,0,0
01053,BOURG-EN-BRESSE,0,0,0
01173,GEX,106555,0,0
01283,OYONNAX,0,0,0
02095,BOHAIN-EN-VERMANDOIS,0,0,0
02168,CHATEAU-THIERRY,0,0,0
02173,CHAUNY,0,0,0
02361,GUISE,0,157350,139867
02381,HIRSON,0,0,0
02408,LAON,0,0,0
02691,SAINT-QUENTIN,0,0,0
02722,SOISSONS,0,0,0
02738,TERGNIER,0,0,0
02810,VILLERS-COTTERETS,0,0,0
03095,CUSSET,0,0,0
03185,MONTLUCON,0,0,0
03190,MOULINS,0,0,0
03310,VICHY,0,0,0
03321,YZEURE,0,54803,0
04070,DIGNE-LES-BAINS,0,0,0
04112,MANOSQUE,0,0,0
05023,BRIANCON,78208,0,0
05061,GAP,0,0,0
06012,BEAUSOLEIL,162105,0,0
06030,CANNET,249990,0,0
06069,GRASSE,310747,0,0
06149,TRINITE,111990,0,0
07010,ANNONAY,0,0,0
07019,AUBENAS,0,0,0
07324,TOURNON-SUR-RHONE,0,0,0
08081,BOGNY-SUR-MEUSE,0,0,0
08105,CHARLEVILLE-MEZIERES,0,0,0
08328,NOUZONVILLE,0,0,0
08362,RETHEL,0,0,0
08363,REVIN,0,0,0
08409,SEDAN,0,0,0
09122,FOIX,0,0,0
09225,PAMIERS,0,0,0
10033,BAR-SUR-AUBE,0,0,0
10081,CHAPELLE-SAINT-LUC,0,0,0
10297,PONT-SAINTE-MARIE,0,0,0
10323,ROMILLY-SUR-SEINE,0,0,0
10333,SAINT-ANDRE-LES-VERGERS,0,0,0
10362,SAINTE-SAVINE,0,0,0
10387,TROYES,0,0,0
11069,CARCASSONNE,0,0,0
11076,CASTELNAUDARY,0,0,0
11145,FLEURY,0,0,0
11170,GRUISSAN,166208,0,0
11202,LEUCATE,373682,0,0
11203,LEZIGNAN-CORBIERES,0,0,0
11206,LIMOUX,0,0,0
11262,NARBONNE,0,0,0
12145,MILLAU,0,0,0
12176,ONET-LE-CHATEAU,0,0,0
12202,RODEZ,0,0,0
12300,VILLEFRANCHE-DE-ROUERGUE,0,0,0
13002,ALLAUCH,141773,0,0
13004,ARLES,0,0,0
13005,AUBAGNE,0,0,0
13007,AURIOL,154309,0,0
13014,BERRE-L'ETANG,115819,0,0
13026,CHATEAUNEUF-LES-MARTIGUES,0,0,0
13027,CHATEAURENARD,0,0,0
13028,CIOTAT,445434,0,0
13041,GARDANNE,0,0,0
13047,ISTRES,0,0,0
13054,MARIGNANE,0,0,0
13055,MARSEILLE,0,0,0
13063,MIRAMAS,0,0,0
13069,PELISSANNE,114385,0,0
13077,PORT-DE-BOUC,0,0,0
13097,SAINT-MARTIN-DE-CRAU,68519,0,0
13103,SALON-DE-PROVENCE,0,0,0
13106,SEPTEMES-LES-VALLONS,0,0,0
13108,TARASCON,0,0,0
13117,VITROLLES,0,0,0
14047,BAYEUX,0,0,0
14118,CAEN,0,0,0
14167,COLOMBELLES,0,0,0
14258,FALAISE,0,0,0
14327,HEROUVILLE-SAINT-CLAIR,0,0,0
14341,IFS,0,0,0
14366,LISIEUX,0,0,0
14431,MEZIDON-VALLEE-D'AUGE,0,0,0
14437,MONDEVILLE,0,0,0
14666,SANNERVILLE,0,0,0
14762,VIRE NORMANDIE,0,0,0
15014,AURILLAC,0,0,0
16015,ANGOULEME,0,0,0
16102,COGNAC,0,0,0
16374,SOYAUX,0,0,0
17299,ROCHEFORT,0,0,0
17300,ROCHELLE,0,0,0
17385,SAINT-PIERRE-D'OLERON,63779,0,0
17415,SAINTES,0,0,0
18033,BOURGES,0,0,0
18197,SAINT-AMAND-MONTROND,0,229238,0
18279,VIERZON,0,0,0
19031,BRIVE-LA-GAILLARDE,0,0,0
19073,EGLETONS,0,0,0
19272,TULLE,0,0,0
19275,USSEL,0,0,0
21054,BEAUNE,0,0,0
21166,CHENOVE,0,0,0
21171,CHEVIGNY-SAINT-SAUVEUR,0,0,0
21231,DIJON,0,0,0
21515,QUETIGNY,0,216782,0
21617,TALANT,0,0,0
22050,DINAN,0,0,0
22070,GUINGAMP,0,0,0
22093,LAMBALLE-ARMOR,0,0,0
22113,LANNION,0,0,0
22136,LOUDEAC,0,0,0
22187,PLERIN,96687,0,0
22215,PLOUFRAGAN,0,0,0
22278,SAINT-BRIEUC,0,0,0
23096,GUERET,0,0,0
24037,BERGERAC,0,0,0
24053,BOULAZAC ISLE MANOIRE,71296,0,0
24322,PERIGUEUX,0,0,0
24520,SARLAT-LA-CANEDA,0,0,0
25031,AUDINCOURT,0,0,0
25056,BESANCON,0,0,0
25057,BETHONCOURT,0,0,0
25284,GRAND-CHARMONT,0,0,0
25388,MONTBELIARD,0,0,0
25462,PONTARLIER,106434,0,0
25580,VALENTIGNEY,0,0,0
26057,BOURG-DE-PEAGE,0,0,0
26058,BOURG-LES-VALENCE,0,0,0
26198,MONTELIMAR,0,0,0
26235,PIERRELATTE,0,0,0
26252,PORTES-LES-VALENCE,0,0,0
26281,ROMANS-SUR-ISERE,0,0,0
26325,SAINT-RAMBERT-D'ALBON,0,41022,0
26362,VALENCE,0,0,0
27056,BERNAY,0,0,0
27165,CONCHES-EN-OUCHE,0,0,0
27229,EVREUX,0,0,0
27275,GAILLON,0,0,0
27284,GISORS,0,0,0
27375,LOUVIERS,0,0,0
27467,PONT-AUDEMER,0,0,0
27681,VERNON,0,0,0
27701,VAL-DE-REUIL,0,0,0
28085,CHARTRES,0,0,0
28088,CHATEAUDUN,0,0,0
28134,DREUX,0,0,0
28218,LUCE,0,0,0
28229,MAINVILLIERS,0,0,0
28280,NOGENT-LE-ROTROU,0,0,0
28404,VERNOUILLET,0,0,0
29019,BREST,0,0,0
29039,CONCARNEAU,99315,0,0
29042,CROZON,46697,0,0
29046,DOUARNENEZ,105596,0,0
29103,LANDERNEAU,0,0,0
29151,MORLAIX,0,0,0
29189,PLOUGASTEL-DAOULAS,142030,0,0
29212,PLOUZANE,0,0,0
29232,QUIMPER,0,0,0
29233,QUIMPERLE,0,0,0
29235,RELECQ-KERHUON,53515,0,0
2A004,AJACCIO,0,0,0
2B033,BASTIA,0,0,0
2B042,BORGO,0,0,0
2B096,CORTE,0,0,0
30007,ALES,0,0,0
30028,BAGNOLS-SUR-CEZE,0,0,0
30032,BEAUCAIRE,0,0,0
30132,GRAND-COMBE,0,0,0
30189,NIMES,0,0,0
30202,PONT-SAINT-ESPRIT,0,0,0
30258,SAINT-GILLES,0,0,0
30321,SOMMIERES,0,0,0
30341,VAUVERT,0,0,0
31113,CASTANET-TOLOSAN,0,0,0
31116,CASTELGINEST,0,0,0
31149,COLOMIERS,0,0,0
31157,CUGNAUX,0,0,0
31187,FONSORBES,0,0,0
31395,MURET,0,0,0
31424,PLAISANCE-DU-TOUCH,0,0,0
31446,RAMONVILLE-SAINT-AGNE,0,0,0
31451,REVEL,0,0,0
31483,SAINT-GAUDENS,0,0,0
31555,TOULOUSE,0,0,0
32013,AUCH,0,0,0
33003,AMBARES-ET-LAGRAVE,0,0,0
33039,BEGLES,0,0,0
33063,BORDEAUX,1210714,0,0
33119,CENON,0,0,0
33162,EYSINES,0,0,0
33167,FLOIRAC,0,0,0
